"origin_fips","dest_fips","num_migrants","m_i","m_j"
30,20,216,990697,2858190
9,20,162,3579114,2858190
33,20,97,1316762,2858190
54,20,101,1854239,2858190
23,20,93,1327629,2858190
10,20,126,899593,2858190
11,20,65,605226,2858190
44,20,57,1053959,2858190
50,20,45,625879,2858190
39,21,10954,11539336,4348181
18,21,9158,6490432,4348181
47,21,8879,6355311,4348181
12,21,5490,18845537,4348181
48,21,4562,25241971,4348181
17,21,3771,12840503,4348181
13,21,3603,9711881,4348181
51,21,3493,8023699,4348181
6,21,2777,37319502,4348181
37,21,2697,9574323,4348181
26,21,2498,9877510,4348181
29,21,2284,5995974,4348181
36,21,1732,19399878,4348181
42,21,1500,12711160,4348181
54,21,1479,1854239,4348181
1,21,1640,4785437,4348181
45,21,1430,4635649,4348181
4,21,1045,6407172,4348181
8,21,964,5047349,4348181
53,21,962,6742830,4348181
24,21,866,5788645,4348181
22,21,841,4544532,4348181
55,21,719,5690475,4348181
40,21,806,3759944,4348181
20,21,867,2858190,4348181
28,21,627,2970548,4348181
5,21,596,2921964,4348181
34,21,572,8799446,4348181
32,21,507,2702405,4348181
25,21,428,6566307,4348181
27,21,464,5310828,4348181
19,21,459,3050745,4348181
41,21,346,3837491,4348181
15,21,459,1363963,4348181
2,21,421,713910,4348181
49,21,378,2775332,4348181
9,21,251,3579114,4348181
35,21,278,2064552,4348181
31,21,230,1829542,4348181
11,21,143,605226,4348181
16,21,187,1570746,4348181
33,21,142,1316762,4348181
56,21,135,564487,4348181
23,21,112,1327629,4348181
30,21,111,990697,4348181
10,21,97,899593,4348181
46,21,92,816166,4348181
44,21,72,1053959,4348181
38,21,91,674715,4348181
50,21,42,625879,4348181
48,22,19484,25241971,4544532
28,22,6720,2970548,4544532
12,22,5607,18845537,4544532
13,22,4639,9711881,4544532
6,22,3997,37319502,4544532
1,22,2614,4785437,4544532
37,22,2888,9574323,4544532
5,22,2596,2921964,4544532
36,22,1920,19399878,4544532
47,22,2277,6355311,4544532
51,22,1981,8023699,4544532
17,22,1490,12840503,4544532
29,22,1531,5995974,4544532
8,22,1418,5047349,4544532
39,22,1290,11539336,4544532
40,22,1390,3759944,4544532
26,22,1050,9877510,4544532
42,22,974,12711160,4544532
53,22,1061,6742830,4544532
4,22,1046,6407172,4544532
45,22,1038,4635649,4544532
18,22,874,6490432,4544532
24,22,790,5788645,4544532
21,22,834,4348181,4544532
25,22,555,6566307,4544532
34,22,681,8799446,4544532
20,22,742,2858190,4544532
32,22,611,2702405,4544532
55,22,474,5690475,4544532
27,22,414,5310828,4544532
35,22,399,2064552,4544532
15,22,497,1363963,4544532
41,22,360,3837491,4544532
2,22,437,713910,4544532
9,22,286,3579114,4544532
19,22,365,3050745,4544532
31,22,281,1829542,4544532
49,22,338,2775332,4544532
11,22,201,605226,4544532
54,22,175,1854239,4544532
56,22,207,564487,4544532
30,22,179,990697,4544532
23,22,106,1327629,4544532
16,22,137,1570746,4544532
38,22,151,674715,4544532
10,22,120,899593,4544532
44,22,107,1053959,4544532
33,22,94,1316762,4544532
46,22,92,816166,4544532
50,22,58,625879,4544532
25,23,2992,6566307,1327629
33,23,2811,1316762,1327629
12,23,2136,18845537,1327629
36,23,1412,19399878,1327629
9,23,1107,3579114,1327629
6,23,1003,37319502,1327629
42,23,806,12711160,1327629
48,23,784,25241971,1327629
51,23,707,8023699,1327629
37,23,679,9574323,1327629
50,23,511,625879,1327629
34,23,514,8799446,1327629
13,23,425,9711881,1327629
44,23,405,1053959,1327629
24,23,426,5788645,1327629
8,23,395,5047349,1327629
4,23,392,6407172,1327629
39,23,348,11539336,1327629
17,23,297,12840503,1327629
53,23,302,6742830,1327629
45,23,318,4635649,1327629
26,23,265,9877510,1327629
47,23,237,6355311,1327629
41,23,172,3837491,1327629
29,23,163,5995974,1327629
2,23,178,713910,1327629
27,23,148,5310828,1327629
1,23,163,4785437,1327629
55,23,162,5690475,1327629
35,23,139,2064552,1327629
21,23,172,4348181,1327629
32,23,125,2702405,1327629
22,23,135,4544532,1327629
15,23,153,1363963,1327629
18,23,131,6490432,1327629
40,23,141,3759944,1327629
19,23,114,3050745,1327629
11,23,67,605226,1327629
49,23,115,2775332,1327629
20,23,91,2858190,1327629
28,23,77,2970548,1327629
30,23,69,990697,1327629
5,23,71,2921964,1327629
31,23,64,1829542,1327629
16,23,70,1570746,1327629
56,23,47,564487,1327629
10,23,39,899593,1327629
54,23,53,1854239,1327629
38,23,53,674715,1327629
46,23,26,816166,1327629
51,24,19417,8023699,5788645
11,24,15005,605226,5788645
42,24,11011,12711160,5788645
36,24,7668,19399878,5788645
12,24,8254,18845537,5788645
6,24,6696,37319502,5788645
34,24,6190,8799446,5788645
37,24,5716,9574323,5788645
48,24,5520,25241971,5788645
13,24,4483,9711881,5788645
10,24,3642,899593,5788645
39,24,2612,11539336,5788645
54,24,2585,1854239,5788645
25,24,2205,6566307,5788645
17,24,2253,12840503,5788645
26,24,1885,9877510,5788645
45,24,1861,4635649,5788645
47,24,1631,6355311,5788645
8,24,1577,5047349,5788645
53,24,1672,6742830,5788645
4,24,1472,6407172,5788645
9,24,1294,3579114,5788645
18,24,1023,6490432,5788645
15,24,1237,1363963,5788645
29,24,893,5995974,5788645
27,24,781,5310828,5788645
1,24,885,4785437,5788645
22,24,778,4544532,5788645
32,24,770,2702405,5788645
55,24,667,5690475,5788645
21,24,750,4348181,5788645
41,24,499,3837491,5788645
20,24,605,2858190,5788645
40,24,573,3759944,5788645
49,24,584,2775332,5788645
44,24,424,1053959,5788645
35,24,490,2064552,5788645
19,24,417,3050745,5788645
28,24,475,2970548,5788645
33,24,360,1316762,5788645
23,24,371,1327629,5788645
2,24,385,713910,5788645
5,24,339,2921964,5788645
31,24,316,1829542,5788645
50,24,191,625879,5788645
16,24,193,1570746,5788645
30,24,133,990697,5788645
46,24,129,816166,5788645
38,24,106,674715,5788645
56,24,86,564487,5788645
36,25,11616,19399878,6566307
12,25,9504,18845537,6566307
33,25,8199,1316762,6566307
6,25,7132,37319502,6566307
9,25,6650,3579114,6566307
44,25,6431,1053959,6566307
42,25,3929,12711160,6566307
34,25,4076,8799446,6566307
48,25,3109,25241971,6566307
23,25,2502,1327629,6566307
51,25,2738,8023699,6566307
37,25,2889,9574323,6566307
17,25,2372,12840503,6566307
13,25,2275,9711881,6566307
24,25,1942,5788645,6566307
50,25,1491,625879,6566307
39,25,1790,11539336,6566307
8,25,1383,5047349,6566307
26,25,1286,9877510,6566307
4,25,1371,6407172,6566307
53,25,1249,6742830,6566307
11,25,781,605226,6566307
