"","1","2","4","5","6","8","9","10","11","12","13","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","44","45","46","47","48","49","50","51","53","54","55","56"
"25",236621583,256389242,312295004,257679512,314454554,312295004,45950628,61914650,85405873,221739099,235142379,314454554,313032502,191032901,211241943,259330571,305131347,237957933,251705636,2664612,75374227,0,152326014,230640794,245501176,262197510,312295004,262197510,313032502,1336350,52877442,312295004,52877442,184287811,248275979,173061960,305131347,313032502,61914650,1056065,178526871,273376959,237375649,299779205,312295004,3289828,90297811,313304699,174281880,186368273,312295004
"26",147269281,119354974,204649884,167287489,204649884,182853910,73840756,95489929,92200101,181700599,124840763,185013460,168257567,25228275,35510838,64216035,143204716,54122505,169313277,71998706,94161667,71998706,0,43402330,160951469,122260040,131207870,70252271,193032357,71998706,85458283,204649884,85458283,115076781,53378052,13459577,150845967,162403895,85458283,73840756,151252495,64691576,95680683,182242692,182853910,63636898,113032812,154989448,41186583,25228275,178189282
"27",223704964,67009590,126530114,152463836,123541643,42996045,182428524,188537955,191516003,238432207,228348151,122723145,79991347,54324453,104160540,11937957,27770752,156229154,184399550,182428524,191516003,182428524,131152160,0,176324697,34593429,26378385,14846968,123541643,182428524,182428524,115350665,182428524,238432207,754066,164931382,88090798,79991347,185549484,182428524,238432207,2745265,195182349,172310977,93093539,156737450,202252363,77082336,202252363,35159990,33299430
"28",19758088,191445154,123541643,2978048,129023675,136464079,188537955,183055923,179934963,59555342,59316690,131183225,154251950,127283431,109040288,91801513,33252784,86488725,4664628,201087066,179934963,194609687,180878024,97662509,0,63461969,175200811,91801513,129023675,197587735,188537955,112362194,188537955,146587867,104384694,176050431,48350584,154989448,188537955,188537955,108133537,97903114,35612584,32134684,147643528,201087066,179934963,175938309,178606701,160340762,154251950
"29",120569153,89331837,102599192,9876019,83146781,21701613,197587735,197587735,197587735,209979306,150399513,113530453,92503839,68239705,89039498,5012237,6818511,95681417,104410654,191621216,197587735,191621216,165191974,30722176,89487070,0,42846618,5866225,83146781,191621216,197587735,68431810,197587735,192321109,17863263,156471302,6818511,92503839,197587735,197587735,193649371,12102323,85748968,50991446,83900847,192375282,196770331,89331837,192105703,61697762,21701613
"30",249196263,13568006,65282581,244885818,72552530,14016373,247106972,247106972,249196263,256025939,249196263,68675844,15812343,247106972,249196263,107840956,130291166,249196263,259007774,247106972,249196263,247106972,247106972,91801513,259007774,152096577,0,94789984,61373081,247106972,247106972,74503542,247106972,249196263,24520608,249196263,151876442,15812343,247106972,247106972,249196263,49648655,249196263,204898777,13536069,247106972,249196263,12830508,249196263,247106972,9018071
"31",175974239,79321298,100707915,83807698,80401516,15046848,199479012,204143640,204143640,231621913,221810054,84169120,75191059,74311437,106051817,3120960,12890243,150747122,145258814,194266559,204143640,199479012,168411513,10211046,145258814,6071732,24487108,0,80401516,199479012,199479012,66540533,199479012,198661608,7090086,198150750,15868291,75191059,204143640,199479012,232950175,853988,148504183,71741631,77346004,195120547,204143640,75191059,204143640,59806485,12991825
"32",261874713,18334382,6829676,260546451,38918045,34603021,263525772,263525772,263525772,261874713,261874713,51519546,16842818,263525772,263525772,263525772,164775027,261874713,261874713,263525772,263525772,263525772,263525772,263525772,261874713,250734592,33949708,178920238,0,263525772,263525772,17937038,263525772,261874713,183107695,263525772,184984069,16842818,263525772,263525772,261874713,173087048,261874713,197882740,4632894,263525772,263525772,16842818,263525772,263525772,38781462
"33",237957933,194433625,305500776,250885284,306604261,304444711,52744856,68708878,102131816,229105420,236478729,306604261,305182209,178517980,204447715,242999543,294321327,231163705,253667202,1328262,92200101,7850293,139755152,217898563,246837526,255403282,304444711,254347217,305182209,0,60347070,305500776,60347070,185624161,232063878,166267732,294321327,305182209,68708878,7850293,185624161,261510874,238711999,301115555,304444711,625216,97092039,305182209,175618230,178517980,304444711
"34",198568266,211951748,279241357,213783879,279978855,279241357,23241788,20387040,28748848,152114218,189858478,282026123,272242263,140060880,148651060,197587147,268061908,169761731,213029813,34381909,20387040,34381909,80023753,152823933,213029813,224625865,246403785,229143863,279241357,34381909,0,279241357,19654666,123944730,191975644,108595654,268061908,252033221,13726078,33756693,121666114,196306291,204904286,266410849,279241357,14727243,58435160,247141283,107726652,133162909,279241357
