"origin","origin_lon","origin_lat","dest","dest_lon","dest_lat","distance"
1,-86.81,33.52,39,-82.99,39.96,491.947192651864
1,-86.81,33.52,40,-97.5,35.52,624.93323943931
1,-86.81,33.52,41,-122.67,45.52,2065.45765392866
1,-86.81,33.52,42,-75.15,39.96,783.73162477462
1,-86.81,33.52,44,-71.41,41.82,1017.49675475591
1,-86.81,33.52,45,-79.94,32.79,401.323999596243
1,-86.81,33.52,46,-96.73,43.54,874.153047706144
1,-86.81,33.52,47,-86.77,36.15,181.309208643781
1,-86.81,33.52,48,-95.39,29.73,568.950674567609
1,-86.81,33.52,49,-111.89,40.77,1465.80969143619
1,-86.81,33.52,50,-73.21,44.47,1049.13136797216
1,-86.81,33.52,51,-76.12,36.81,645.795828847297
1,-86.81,33.52,53,-122.33,47.6,2081.66835224925
1,-86.81,33.52,54,-81.63,38.35,441.709034098907
1,-86.81,33.52,55,-87.91,43.04,659.329452339009
1,-86.81,33.52,56,-104.82,41.13,1119.03586429123
2,-149.9,61.22,1,-86.81,33.52,3341.0525437443
2,-149.9,61.22,2,-149.9,61.22,0
2,-149.9,61.22,4,-112.07,33.45,2547.71191963913
2,-149.9,61.22,5,-92.29,34.75,3090.30092039021
2,-149.9,61.22,6,-118.24,34.05,2342.514137532
2,-149.9,61.22,8,-104.99,39.74,2399.75429017353
2,-149.9,61.22,9,-73.19,41.18,3371.72315934909
2,-149.9,61.22,10,-75.55,39.74,3372.30360343904
2,-149.9,61.22,11,-77.03,38.89,3369.67104494431
2,-149.9,61.22,12,-81.66,30.33,3693.65568313247
2,-149.9,61.22,13,-84.39,33.75,3408.73861586258
2,-149.9,61.22,15,-157.86,21.3,2781.70071443795
2,-149.9,61.22,16,-116.2,43.62,1837.59955913095
2,-149.9,61.22,17,-87.63,41.88,2857.02158619125
2,-149.9,61.22,18,-86.15,39.77,3018.66614279706
2,-149.9,61.22,19,-93.61,41.58,2673.29736664769
2,-149.9,61.22,20,-97.33,37.69,2760.77692243556
2,-149.9,61.22,21,-85.65,38.21,3119.77158800661
2,-149.9,61.22,22,-90.03,29.98,3436.30413128276
2,-149.9,61.22,23,-70.3,43.68,3331.04935198236
2,-149.9,61.22,24,-76.62,39.31,3360.373023085
2,-149.9,61.22,25,-71.08,42.33,3378.20345539015
2,-149.9,61.22,26,-83.08,42.36,2983.34840302833
2,-149.9,61.22,27,-93.27,44.98,2508.69410679552
2,-149.9,61.22,28,-90.2,32.31,3297.22350983402
2,-149.9,61.22,29,-94.56,39.03,2778.5180826085
2,-149.9,61.22,30,-108.52,45.79,1963.13240791574
2,-149.9,61.22,31,-96.02,41.26,2610.15213329993
2,-149.9,61.22,32,-115.19,36.17,2296.81530961694
2,-149.9,61.22,33,-71.45,42.99,3330.97727152219
2,-149.9,61.22,34,-74.18,40.74,3363.14577401594
2,-149.9,61.22,35,-106.66,35.1,2610.64955170605
2,-149.9,61.22,36,-73.98,40.67,3373.46470939665
2,-149.9,61.22,37,-80.84,35.21,3445.60341721239
2,-149.9,61.22,38,-96.81,46.89,2295.40042790403
2,-149.9,61.22,39,-82.99,39.96,3113.86601091953
2,-149.9,61.22,40,-97.5,35.52,2876.41941443971
2,-149.9,61.22,41,-122.67,45.52,1542.94410866454
2,-149.9,61.22,42,-75.15,39.96,3373.52935509225
2,-149.9,61.22,44,-71.41,41.82,3394.97938670765
2,-149.9,61.22,45,-79.94,32.79,3611.33022104514
2,-149.9,61.22,46,-96.73,43.54,2466.91676441938
2,-149.9,61.22,47,-86.77,36.15,3195.5078718408
2,-149.9,61.22,48,-95.39,29.73,3276.63136969686
2,-149.9,61.22,49,-111.89,40.77,2126.88101497066
2,-149.9,61.22,50,-73.21,44.47,3196.0759645283
2,-149.9,61.22,51,-76.12,36.81,3513.96132361248
2,-149.9,61.22,53,-122.33,47.6,1438.39221517614
2,-149.9,61.22,54,-81.63,38.35,3246.28298140874
2,-149.9,61.22,55,-87.91,43.04,2787.03232410908
2,-149.9,61.22,56,-104.82,41.13,2329.01245545752
4,-112.07,33.45,1,-86.81,33.52,1455.11359932862
4,-112.07,33.45,2,-149.9,61.22,2547.71191963913
4,-112.07,33.45,4,-112.07,33.45,0
4,-112.07,33.45,5,-92.29,34.75,1135.84116224202
4,-112.07,33.45,6,-118.24,34.05,357.567045514862
4,-112.07,33.45,8,-104.99,39.74,585.315558970138
4,-112.07,33.45,9,-73.19,41.18,2187.44029471105
4,-112.07,33.45,10,-75.55,39.74,2061.44162359732
4,-112.07,33.45,11,-77.03,38.89,1981.89835557437
4,-112.07,33.45,12,-81.66,30.33,1794.13350046013
4,-112.07,33.45,13,-84.39,33.75,1591.6880617261
4,-112.07,33.45,15,-157.86,21.3,2911.06527529024
4,-112.07,33.45,16,-116.2,43.62,736.048659828192
4,-112.07,33.45,17,-87.63,41.88,1453.96501818516
4,-112.07,33.45,18,-86.15,39.77,1499.25997772096
4,-112.07,33.45,19,-93.61,41.58,1155.2576998316
4,-112.07,33.45,20,-97.33,37.69,879.036708605428
4,-112.07,33.45,21,-85.65,38.21,1513.693408232
4,-112.07,33.45,22,-90.03,29.98,1317.28753354933
4,-112.07,33.45,23,-70.3,43.68,2341.95597112294
4,-112.07,33.45,24,-76.62,39.31,2004.03127244162
4,-112.07,33.45,25,-71.08,42.33,2298.5491488116
4,-112.07,33.45,26,-83.08,42.36,1688.95824460058
4,-112.07,33.45,27,-93.27,44.98,1279.25236609696
4,-112.07,33.45,28,-90.2,32.31,1271.7718455394
4,-112.07,33.45,29,-94.56,39.03,1048.78549835266
4,-112.07,33.45,30,-108.52,45.79,871.901894128664
4,-112.07,33.45,31,-96.02,41.26,1032.26309483556
4,-112.07,33.45,32,-115.19,36.17,258.078508821126
4,-112.07,33.45,33,-71.45,42.99,2281.55412575323
4,-112.07,33.45,34,-74.18,40.74,2134.96619547447
4,-112.07,33.45,35,-106.66,35.1,329.7304202258
4,-112.07,33.45,36,-73.98,40.67,2145.36765607538
4,-112.07,33.45,37,-80.84,35.21,1782.59847412471
4,-112.07,33.45,38,-96.81,46.89,1225.25399113069
4,-112.07,33.45,39,-82.99,39.96,1667.52051940449
4,-112.07,33.45,40,-97.5,35.52,842.943896621996
4,-112.07,33.45,41,-122.67,45.52,1005.2211440943
4,-112.07,33.45,42,-75.15,39.96,2082.86127364676
4,-112.07,33.45,44,-71.41,41.82,2280.72365181976
4,-112.07,33.45,45,-79.94,32.79,1856.32095161397
4,-112.07,33.45,46,-96.73,43.54,1081.22231620116
4,-112.07,33.45,47,-86.77,36.15,1446.43817843742
4,-112.07,33.45,48,-95.39,29.73,1015.2591342086
4,-112.07,33.45,49,-111.89,40.77,504.883662658806
4,-112.07,33.45,50,-73.21,44.47,2202.28671168939
4,-112.07,33.45,51,-76.12,36.81,2037.13133928731
4,-112.07,33.45,53,-122.33,47.6,1113.56169326351
4,-112.07,33.45,54,-81.63,38.35,1732.43780583656
4,-112.07,33.45,55,-87.91,43.04,1463.92772704367
4,-112.07,33.45,56,-104.82,41.13,662.829728555403
5,-92.29,34.75,1,-86.81,33.52,325.272652996714
5,-92.29,34.75,2,-149.9,61.22,3090.30092039021
5,-92.29,34.75,4,-112.07,33.45,1135.84116224202
5,-92.29,34.75,5,-92.29,34.75,0
5,-92.29,34.75,6,-118.24,34.05,1479.31327061769
5,-92.29,34.75,8,-104.99,39.74,779.144064583547
5,-92.29,34.75,9,-73.19,41.18,1130.15880910852
5,-92.29,34.75,10,-75.55,39.74,983.083711337106
5,-92.29,34.75,11,-77.03,38.89,891.549854998385
5,-92.29,34.75,12,-81.66,30.33,690.64331383414
5,-92.29,34.75,13,-84.39,33.75,457.265987384357
5,-92.29,34.75,15,-157.86,21.3,4042.95137030522
5,-92.29,34.75,16,-116.2,43.62,1415.15269970741
5,-92.29,34.75,17,-87.63,41.88,552.926553400093
5,-92.29,34.75,18,-86.15,39.77,483.885559651862
5,-92.29,34.75,19,-93.61,41.58,476.513650185441
5,-92.29,34.75,20,-97.33,37.69,346.865775593173
5,-92.29,34.75,21,-85.65,38.21,439.842382312623
5,-92.29,34.75,22,-90.03,29.98,354.227630027178
5,-92.29,34.75,23,-70.3,43.68,1325.40583289755
5,-92.29,34.75,24,-76.62,39.31,920.149176565121
5,-92.29,34.75,25,-71.08,42.33,1257.82872385304
5,-92.29,34.75,26,-83.08,42.36,723.256387312705
5,-92.29,34.75,27,-93.27,44.98,707.697487668361
5,-92.29,34.75,28,-90.2,32.31,206.942687378192
5,-92.29,34.75,29,-94.56,39.03,320.770496410631
5,-92.29,34.75,30,-108.52,45.79,1143.13470156087
5,-92.29,34.75,31,-96.02,41.26,492.849940288048
5,-92.29,34.75,32,-115.19,36.17,1292.37128609444
5,-92.29,34.75,33,-71.45,42.99,1254.61732981271
5,-92.29,34.75,34,-74.18,40.74,1071.78418096229
5,-92.29,34.75,35,-106.66,35.1,815.514796730816
5,-92.29,34.75,36,-73.98,40.67,1080.47010938078
5,-92.29,34.75,37,-80.84,35.21,650.05931961052
5,-92.29,34.75,38,-96.81,46.89,870.173009207421
5,-92.29,34.75,39,-82.99,39.96,624.901716437987
5,-92.29,34.75,40,-97.5,35.52,299.743299175183
5,-92.29,34.75,41,-122.67,45.52,1758.12481025952
5,-92.29,34.75,42,-75.15,39.96,1007.61250722964
5,-92.29,34.75,44,-71.41,41.82,1231.30495371003
5,-92.29,34.75,45,-79.94,32.79,723.082407587897
5,-92.29,34.75,46,-96.73,43.54,651.322139422312
5,-92.29,34.75,47,-86.77,36.15,325.949145313814
5,-92.29,34.75,48,-95.39,29.73,390.585043979281
5,-92.29,34.75,49,-111.89,40.77,1147.55244860903
5,-92.29,34.75,50,-73.21,44.47,1214.39681831968
5,-92.29,34.75,51,-76.12,36.81,918.323469365578
5,-92.29,34.75,53,-122.33,47.6,1783.52842403473
5,-92.29,34.75,54,-81.63,38.35,642.388958350293
5,-92.29,34.75,55,-87.91,43.04,618.436396782207
5,-92.29,34.75,56,-104.82,41.13,812.373253835534
6,-118.24,34.05,1,-86.81,33.52,1801.9814796342
6,-118.24,34.05,2,-149.9,61.22,2342.514137532
6,-118.24,34.05,4,-112.07,33.45,357.567045514862
6,-118.24,34.05,5,-92.29,34.75,1479.31327061769
6,-118.24,34.05,6,-118.24,34.05,0
6,-118.24,34.05,8,-104.99,39.74,830.923215348812
6,-118.24,34.05,9,-73.19,41.18,2491.37847717977
6,-118.24,34.05,10,-75.55,39.74,2374.01113963936
6,-118.24,34.05,11,-77.03,38.89,2299.50000567408
6,-118.24,34.05,12,-81.66,30.33,2147.25984360214
6,-118.24,34.05,13,-84.39,33.75,1936.54092995186
6,-118.24,34.05,15,-157.86,21.3,2563.6510890318
6,-118.24,34.05,16,-116.2,43.62,669.190383558547
6,-118.24,34.05,17,-87.63,41.88,1745.65585017629
6,-118.24,34.05,18,-86.15,39.77,1809.92624637542
6,-118.24,34.05,19,-93.61,41.58,1437.96125366082
6,-118.24,34.05,20,-97.33,37.69,1197.23972967764
6,-118.24,34.05,21,-85.65,38.21,1835.63982519822
6,-118.24,34.05,22,-90.03,29.98,1674.20015329939
6,-118.24,34.05,23,-70.3,43.68,2630.59513364163
6,-118.24,34.05,24,-76.62,39.31,2319.20367908379
6,-118.24,34.05,25,-71.08,42.33,2595.48444663295
6,-118.24,34.05,26,-83.08,42.36,1981.67030863258
6,-118.24,34.05,27,-93.27,44.98,1523.43561280984
6,-118.24,34.05,28,-90.2,32.31,1624.29772764097
6,-118.24,34.05,29,-94.56,39.03,1357.26477610746
6,-118.24,34.05,30,-108.52,45.79,958.918818442412
6,-118.24,34.05,31,-96.02,41.26,1311.1679108806
6,-118.24,34.05,32,-115.19,36.17,226.272422354936
6,-118.24,34.05,33,-71.45,42.99,2574.46213892598
6,-118.24,34.05,34,-74.18,40.74,2441.58305889294
6,-118.24,34.05,35,-106.66,35.1,663.812458682256
6,-118.24,34.05,36,-73.98,40.67,2452.37478560055
6,-118.24,34.05,37,-80.84,35.21,2119.83804367986
6,-118.24,34.05,38,-96.81,46.89,1427.1642062383
6,-118.24,34.05,39,-82.99,39.96,1978.20498365478
6,-118.24,34.05,40,-97.5,35.52,1181.68097407475
6,-118.24,34.05,41,-122.67,45.52,825.362692429811
6,-118.24,34.05,42,-75.15,39.96,2394.1168079965
6,-118.24,34.05,44,-71.41,41.82,2580.71994437281
6,-118.24,34.05,45,-79.94,32.79,2202.17923822656
6,-118.24,34.05,46,-96.73,43.54,1327.19962113166
6,-118.24,34.05,47,-86.77,36.15,1781.01520365728
6,-118.24,34.05,48,-95.39,29.73,1372.70055348861
6,-118.24,34.05,49,-111.89,40.77,579.967416045695
6,-118.24,34.05,50,-73.21,44.47,2485.23557443074
6,-118.24,34.05,51,-76.12,36.81,2365.113367361
6,-118.24,34.05,53,-122.33,47.6,958.900978564791
6,-118.24,34.05,54,-81.63,38.35,2053.6877097378
6,-118.24,34.05,55,-87.91,43.04,1744.4074042011
6,-118.24,34.05,56,-104.82,41.13,882.022095520083
8,-104.99,39.74,1,-86.81,33.52,1095.02034006607
8,-104.99,39.74,2,-149.9,61.22,2399.75429017353
8,-104.99,39.74,4,-112.07,33.45,585.315558970138
8,-104.99,39.74,5,-92.29,34.75,779.144064583547
8,-104.99,39.74,6,-118.24,34.05,830.923215348812
8,-104.99,39.74,8,-104.99,39.74,0
8,-104.99,39.74,9,-73.19,41.18,1669.58235084972
8,-104.99,39.74,10,-75.55,39.74,1560.88070412607
8,-104.99,39.74,11,-77.03,38.89,1493.37426205293
8,-104.99,39.74,12,-81.66,30.33,1467.23952968562
8,-104.99,39.74,13,-84.39,33.75,1212.09275859322
8,-104.99,39.74,15,-157.86,21.3,3344.33260082254
8,-104.99,39.74,16,-116.2,43.62,638.103022228514
8,-104.99,39.74,17,-87.63,41.88,920.424404325807
8,-104.99,39.74,18,-86.15,39.77,1001.38092848415
8,-104.99,39.74,19,-93.61,41.58,610.823493083805
8,-104.99,39.74,20,-97.33,37.69,437.27457606312
8,-104.99,39.74,21,-85.65,38.21,1044.6680177241
8,-104.99,39.74,22,-90.03,29.98,1081.46242014811
8,-104.99,39.74,23,-70.3,43.68,1801.04615704095
8,-104.99,39.74,24,-76.62,39.31,1509.65145449028
8,-104.99,39.74,25,-71.08,42.33,1769.0523843354
8,-104.99,39.74,26,-83.08,42.36,1155.444890306
8,-104.99,39.74,27,-93.27,44.98,699.496247860556
8,-104.99,39.74,28,-90.2,32.31,971.996307036134
8,-104.99,39.74,29,-94.56,39.03,560.185643684957
8,-104.99,39.74,30,-108.52,45.79,454.447238420616
8,-104.99,39.74,31,-96.02,41.26,483.728590586641
8,-104.99,39.74,32,-115.19,36.17,608.525005569189
8,-104.99,39.74,33,-71.45,42.99,1746.3479226488
8,-104.99,39.74,34,-74.18,40.74,1622.16455654696
8,-104.99,39.74,35,-106.66,35.1,332.893421224845
8,-104.99,39.74,36,-73.98,40.67,1633.22804959483
8,-104.99,39.74,37,-80.84,35.21,1359.12043192476
8,-104.99,39.74,38,-96.81,46.89,642.420810140786
8,-104.99,39.74,39,-82.99,39.96,1167.02041704444
8,-104.99,39.74,40,-97.5,35.52,503.165386593699
8,-104.99,39.74,41,-122.67,45.52,982.771443166686
8,-104.99,39.74,42,-75.15,39.96,1579.40518171643
8,-104.99,39.74,44,-71.41,41.82,1755.96999097334
8,-104.99,39.74,45,-79.94,32.79,1472.66409641467
8,-104.99,39.74,46,-96.73,43.54,501.268279812979
8,-104.99,39.74,47,-86.77,36.15,1023.47246901762
8,-104.99,39.74,48,-95.39,29.73,878.909179076226
8,-104.99,39.74,49,-111.89,40.77,371.510270699132
8,-104.99,39.74,50,-73.21,44.47,1654.72922182706
8,-104.99,39.74,51,-76.12,36.81,1575.77719357659
8,-104.99,39.74,53,-122.33,47.6,1020.96267648039
8,-104.99,39.74,54,-81.63,38.35,1256.69097486063
8,-104.99,39.74,55,-87.91,43.04,914.597547841401
8,-104.99,39.74,56,-104.82,41.13,96.3263407529538
9,-73.19,41.18,1,-86.81,33.52,915.443487208724
9,-73.19,41.18,2,-149.9,61.22,3371.72315934909
9,-73.19,41.18,4,-112.07,33.45,2187.44029471105
9,-73.19,41.18,5,-92.29,34.75,1130.15880910852
9,-73.19,41.18,6,-118.24,34.05,2491.37847717977
9,-73.19,41.18,8,-104.99,39.74,1669.58235084972
9,-73.19,41.18,9,-73.19,41.18,0
9,-73.19,41.18,10,-75.55,39.74,159.182700848051
9,-73.19,41.18,11,-77.03,38.89,257.707400433384
9,-73.19,41.18,12,-81.66,30.33,885.591592995018
9,-73.19,41.18,13,-84.39,33.75,799.80592862809
9,-73.19,41.18,15,-157.86,21.3,5002.40891928171
9,-73.19,41.18,16,-116.2,43.62,2182.05197538901
9,-73.19,41.18,17,-87.63,41.88,749.50069341556
9,-73.19,41.18,18,-86.15,39.77,689.117751500235
9,-73.19,41.18,19,-93.61,41.58,1059.26798899676
9,-73.19,41.18,20,-97.33,37.69,1309.22260355282
9,-73.19,41.18,21,-85.65,38.21,694.238360141161
9,-73.19,41.18,22,-90.03,29.98,1219.12776557043
9,-73.19,41.18,23,-70.3,43.68,227.15425284811
9,-73.19,41.18,24,-76.62,39.31,222.533026562474
9,-73.19,41.18,25,-71.08,42.33,134.859387809882
9,-73.19,41.18,26,-83.08,42.36,517.117382441103
9,-73.19,41.18,27,-93.27,44.98,1046.37287711057
9,-73.19,41.18,28,-90.2,32.31,1121.60869992804
9,-73.19,41.18,29,-94.56,39.03,1138.93004803328
9,-73.19,41.18,30,-108.52,45.79,1789.11250419109
9,-73.19,41.18,31,-96.02,41.26,1186.12378134017
9,-73.19,41.18,32,-115.19,36.17,2274.83696748402
9,-73.19,41.18,33,-71.45,42.99,153.642822903802
9,-73.19,41.18,34,-74.18,40.74,60.031322035129
9,-73.19,41.18,35,-106.66,35.1,1858.58059091776
9,-73.19,41.18,36,-73.98,40.67,54.2960576575189
9,-73.19,41.18,37,-80.84,35.21,585.14483417816
9,-73.19,41.18,38,-96.81,46.89,1235.16209984147
9,-73.19,41.18,39,-82.99,39.96,522.183587776505
9,-73.19,41.18,40,-97.5,35.52,1371.74414576804
9,-73.19,41.18,41,-122.67,45.52,2470.94212757349
9,-73.19,41.18,42,-75.15,39.96,133.118369306129
9,-73.19,41.18,44,-71.41,41.82,102.365627705642
9,-73.19,41.18,45,-79.94,32.79,688.067031206865
9,-73.19,41.18,46,-96.73,43.54,1211.82902534879
9,-73.19,41.18,47,-86.77,36.15,811.007017369984
9,-73.19,41.18,48,-95.39,29.73,1473.56487482514
9,-73.19,41.18,49,-111.89,40.77,2007.21341448578
9,-73.19,41.18,50,-73.21,44.47,227.103483156984
9,-73.19,41.18,51,-76.12,36.81,340.164020811684
9,-73.19,41.18,53,-122.33,47.6,2430.97446405185
9,-73.19,41.18,54,-81.63,38.35,489.669746720313
9,-73.19,41.18,55,-87.91,43.04,766.271493460291
9,-73.19,41.18,56,-104.82,41.13,1640.49769991242
10,-75.55,39.74,1,-86.81,33.52,757.685049068828
10,-75.55,39.74,2,-149.9,61.22,3372.30360343904
10,-75.55,39.74,4,-112.07,33.45,2061.44162359732
10,-75.55,39.74,5,-92.29,34.75,983.083711337106
10,-75.55,39.74,6,-118.24,34.05,2374.01113963936
10,-75.55,39.74,8,-104.99,39.74,1560.88070412607
10,-75.55,39.74,9,-73.19,41.18,159.182700848051
10,-75.55,39.74,10,-75.55,39.74,0
10,-75.55,39.74,11,-77.03,38.89,98.6302755782468
10,-75.55,39.74,12,-81.66,30.33,734.921028013914
10,-75.55,39.74,13,-84.39,33.75,640.701341192481
10,-75.55,39.74,15,-157.86,21.3,4903.00587791039
10,-75.55,39.74,16,-116.2,43.62,2098.92902436514
10,-75.55,39.74,17,-87.63,41.88,649.724062268839
10,-75.55,39.74,18,-86.15,39.77,564.128521397508
10,-75.55,39.74,19,-93.61,41.58,955.660269235671
10,-75.55,39.74,20,-97.33,37.69,1182.54928194869
10,-75.55,39.74,21,-85.65,38.21,553.670814081666
10,-75.55,39.74,22,-90.03,29.98,1060.36533299738
10,-75.55,39.74,23,-70.3,43.68,384.095103835997
10,-75.55,39.74,24,-76.62,39.31,64.4048574378296
10,-75.55,39.74,25,-71.08,42.33,294.028634346266
10,-75.55,39.74,26,-83.08,42.36,432.710670798453
10,-75.55,39.74,27,-93.27,44.98,973.969191893716
10,-75.55,39.74,28,-90.2,32.31,965.372737665403
10,-75.55,39.74,29,-94.56,39.03,1016.95532961722
10,-75.55,39.74,30,-108.52,45.79,1714.83850108692
10,-75.55,39.74,31,-96.02,41.26,1080.76559109655
10,-75.55,39.74,32,-115.19,36.17,2161.01633637797
10,-75.55,39.74,33,-71.45,42.99,309.338012477085
10,-75.55,39.74,34,-74.18,40.74,100.036932960823
10,-75.55,39.74,35,-106.66,35.1,1731.78421505365
10,-75.55,39.74,36,-73.98,40.67,104.952692704733
10,-75.55,39.74,37,-80.84,35.21,426.606272960323
10,-75.55,39.74,38,-96.81,46.89,1174.90041606379
10,-75.55,39.74,39,-82.99,39.96,395.814531917377
10,-75.55,39.74,40,-97.5,35.52,1235.19620198867
10,-75.55,39.74,41,-122.67,45.52,2399.37784065557
10,-75.55,39.74,42,-75.15,39.96,26.1309478694661
10,-75.55,39.74,44,-71.41,41.82,260.250081288739
10,-75.55,39.74,45,-79.94,32.79,538.068964281638
10,-75.55,39.74,46,-96.73,43.54,1124.05796613979
10,-75.55,39.74,47,-86.77,36.15,660.329465233907
10,-75.55,39.74,48,-95.39,29.73,1318.59529902212
10,-75.55,39.74,49,-111.89,40.77,1908.55905313521
10,-75.55,39.74,50,-73.21,44.47,347.866585972361
10,-75.55,39.74,51,-76.12,36.81,204.452866152973
10,-75.55,39.74,53,-122.33,47.6,2368.3199040043
10,-75.55,39.74,54,-81.63,38.35,340.746085837387
10,-75.55,39.74,55,-87.91,43.04,680.728347267272
10,-75.55,39.74,56,-104.82,41.13,1538.91675867143
11,-77.03,38.89,1,-86.81,33.52,659.494332391888
11,-77.03,38.89,2,-149.9,61.22,3369.67104494431
11,-77.03,38.89,4,-112.07,33.45,1981.89835557437
11,-77.03,38.89,5,-92.29,34.75,891.549854998385
11,-77.03,38.89,6,-118.24,34.05,2299.50000567408
11,-77.03,38.89,8,-104.99,39.74,1493.37426205293
11,-77.03,38.89,9,-73.19,41.18,257.707400433385
11,-77.03,38.89,10,-75.55,39.74,98.6302755782469
11,-77.03,38.89,11,-77.03,38.89,0
11,-77.03,38.89,12,-81.66,30.33,646.113085956627
11,-77.03,38.89,13,-84.39,33.75,542.104340400949
11,-77.03,38.89,15,-157.86,21.3,4837.61905656975
11,-77.03,38.89,16,-116.2,43.62,2046.43309245162
11,-77.03,38.89,17,-87.63,41.88,595.611631044413
11,-77.03,38.89,18,-86.15,39.77,492.151687921743
11,-77.03,38.89,19,-93.61,41.58,894.660055266148
11,-77.03,38.89,20,-97.33,37.69,1104.34287707412
11,-77.03,38.89,21,-85.65,38.21,469.086328386682
11,-77.03,38.89,22,-90.03,29.98,961.754488166018
11,-77.03,38.89,23,-70.3,43.68,481.342497723831
11,-77.03,38.89,24,-76.62,39.31,36.401846716242
11,-77.03,38.89,25,-71.08,42.33,392.566293518723
11,-77.03,38.89,26,-83.08,42.36,397.946172148518
11,-77.03,38.89,27,-93.27,44.98,934.188706321076
11,-77.03,38.89,28,-90.2,32.31,867.951404959924
11,-77.03,38.89,29,-94.56,39.03,942.70627435004
11,-77.03,38.89,30,-108.52,45.79,1669.09425202403
11,-77.03,38.89,31,-96.02,41.26,1017.60832134816
11,-77.03,38.89,32,-115.19,36.17,2088.99561928998
11,-77.03,38.89,33,-71.45,42.99,406.386530936892
11,-77.03,38.89,34,-74.18,40.74,198.178351766534
11,-77.03,38.89,35,-106.66,35.1,1652.19031910492
11,-77.03,38.89,36,-73.98,40.67,203.545942340201
11,-77.03,38.89,37,-80.84,35.21,329.696336929035
11,-77.03,38.89,38,-96.81,46.89,1141.22300802558
11,-77.03,38.89,39,-82.99,39.96,327.243687187771
11,-77.03,38.89,40,-97.5,35.52,1150.19861564229
11,-77.03,38.89,41,-122.67,45.52,2353.52760472066
11,-77.03,38.89,42,-75.15,39.96,124.76079670164
11,-77.03,38.89,44,-71.41,41.82,358.864540734452
11,-77.03,38.89,45,-79.94,32.79,451.104567648458
11,-77.03,38.89,46,-96.73,43.54,1072.53132493582
11,-77.03,38.89,47,-86.77,36.15,567.051818314117
11,-77.03,38.89,48,-95.39,29.73,1221.76950335469
11,-77.03,38.89,49,-111.89,40.77,1846.62527491821
11,-77.03,38.89,50,-73.21,44.47,432.725038228464
11,-77.03,38.89,51,-76.12,36.81,151.838355429811
11,-77.03,38.89,53,-122.33,47.6,2328.12525157021
11,-77.03,38.89,54,-81.63,38.35,251.666774448483
11,-77.03,38.89,55,-87.91,43.04,636.396296982645
11,-77.03,38.89,56,-104.82,41.13,1476.12657076929
12,-81.66,30.33,1,-86.81,33.52,373.933086744326
12,-81.66,30.33,2,-149.9,61.22,3693.65568313247
12,-81.66,30.33,4,-112.07,33.45,1794.13350046013
12,-81.66,30.33,5,-92.29,34.75,690.64331383414
12,-81.66,30.33,6,-118.24,34.05,2147.25984360214
12,-81.66,30.33,8,-104.99,39.74,1467.23952968562
12,-81.66,30.33,9,-73.19,41.18,885.591592995018
12,-81.66,30.33,10,-75.55,39.74,734.921028013914
12,-81.66,30.33,11,-77.03,38.89,646.113085956627
12,-81.66,30.33,12,-81.66,30.33,0
12,-81.66,30.33,13,-84.39,33.75,284.925677794839
12,-81.66,30.33,15,-157.86,21.3,4703.31019174865
12,-81.66,30.33,16,-116.2,43.62,2099.18389767823
