04 000 21 000 KY KENTUCKY                               480       1045       18937
04 000 56 000 WY WYOMING                                469        979       19066
04 000 09 000 CT CONNECTICUT                            380        644       19535
04 000 46 000 SD SOUTH DAKOTA                           375        704       15829
04 000 38 000 ND NORTH DAKOTA                           314        575       11951
04 000 28 000 MS MISSISSIPPI                            262        583        8961
04 000 23 000 ME MAINE                                  224        392        8073
04 000 33 000 NH NEW HAMPSHIRE                          208        378       10723
04 000 11 000 DC DISTRICT OF COLUMBIA                   201        270       10481
04 000 54 000 WV WEST VIRGINIA                          159        315        6638
04 000 44 000 RI RHODE ISLAND                           137        236        6855
04 000 50 000 VT VERMONT                                126        241        5942
04 000 10 000 DE DELAWARE                                97        180        4356
05 000 96 000 AR AR Total Mig - US & For              28811      57956     1152287
05 000 97 000 AR AR Total Mig - US                    28352      57111     1134507
05 000 98 000 AR AR Total Mig - Foreign                 459        845       17779
05 000 05 000 AR AR Non-Migrants                     951286    2133951    45180047
05 000 48 000 TX TEXAS                                 5654      11666      221410
05 000 40 000 OK OKLAHOMA                              2597       5645       83806
05 000 29 000 MO MISSOURI                              2400       4894       76157
05 000 12 000 FL FLORIDA                               1759       2986       74470
05 000 47 000 TN TENNESSEE                             1719       3318       65162
05 000 06 000 CA CALIFORNIA                            1374       2701       53857
05 000 22 000 LA LOUISIANA                             1220       2596       52256
05 000 28 000 MS MISSISSIPPI                            882       1830       29691
05 000 13 000 GA GEORGIA                                832       1678       35948
05 000 17 000 IL ILLINOIS                               812       1589       31549
05 000 37 000 NC NORTH CAROLINA                         612       1238       25785
05 000 08 000 CO COLORADO                               564       1077       22261
05 000 01 000 AL ALABAMA                                553       1096       23216
05 000 20 000 KS KANSAS                                 533       1144       22660
05 000 04 000 AZ ARIZONA                                479        952       19107
05 000 57 000 FR Foreign                                459        845       17779
05 000 51 000 VA VIRGINIA                               445        935       20918
05 000 53 000 WA WASHINGTON                             435        877       16387
05 000 39 000 OH OHIO                                   414        829       20006
05 000 26 000 MI MICHIGAN                               405        798       15294
05 000 36 000 NY NEW YORK                               403        731       16471
05 000 42 000 PA PENNSYLVANIA                           327        629       18146
05 000 18 000 IN INDIANA                                325        667       10639
05 000 21 000 KY KENTUCKY                               288        596       10983
05 000 55 000 WI WISCONSIN                              276        544       11201
05 000 19 000 IA IOWA                                   248        509        8218
05 000 45 000 SC SOUTH CAROLINA                         240        490       15175
05 000 32 000 NV NEVADA                                 235        427       22992
05 000 27 000 MN MINNESOTA                              234        488       18712
05 000 35 000 NM NEW MEXICO                             213        479        7197
05 000 41 000 OR OREGON                                 188        352        7223
05 000 31 000 NE NEBRASKA                               186        391        6903
05 000 24 000 MD MARYLAND                               172        339        9083
05 000 34 000 NJ NEW JERSEY                             158        315       12602
05 000 49 000 UT UTAH                                   136        314        5929
05 000 25 000 MA MASSACHUSETTS                          132        226        6131
05 000 02 000 AK ALASKA                                 123        243        4484
05 000 15 000 HI HAWAII                                  96        220        3091
05 000 56 000 WY WYOMING                                 80        151        3962
05 000 16 000 ID IDAHO                                   75        173        3146
05 000 11 000 DC DISTRICT OF COLUMBIA                    72         88        3308
05 000 30 000 MT MONTANA                                 71        142        2450
05 000 54 000 WV WEST VIRGINIA                           71        159        3608
05 000 46 000 SD SOUTH DAKOTA                            65        126        2176
05 000 09 000 CT CONNECTICUT                             62        102        3060
05 000 38 000 ND NORTH DAKOTA                            55        120        1945
05 000 23 000 ME MAINE                                   39         71        1551
05 000 10 000 DE DELAWARE                                32         63        1291
05 000 44 000 RI RHODE ISLAND                            27         49         976
05 000 33 000 NH NEW HAMPSHIRE                           21         37        1564
05 000 50 000 VT VERMONT                                 13         21         352
06 000 96 000 CA CA Total Mig - US & For             236494     436367    12258728
06 000 97 000 CA CA Total Mig - US                   223858     412899    11562457
06 000 98 000 CA CA Total Mig - Foreign               12636      23468      696271
06 000 06 000 CA CA Non-Migrants                   12600855   28690412   792748023
06 000 48 000 TX TEXAS                                23621      48419     1291251
06 000 04 000 AZ ARIZONA                              15921      30618      835477
06 000 53 000 WA WASHINGTON                           15690      30248      850905
06 000 32 000 NV NEVADA                               15264      28563      816210
06 000 12 000 FL FLORIDA                              13649      21675      593474
06 000 57 000 FR Foreign                              12636      23468      696271
06 000 36 000 NY NEW YORK                             12361      17025      719521
06 000 41 000 OR OREGON                               11596      20794      553550
06 000 08 000 CO COLORADO                              9300      17015      507946
06 000 51 000 VA VIRGINIA                              7220      14502      440266
06 000 17 000 IL ILLINOIS                              6663      11639      382122
06 000 37 000 NC NORTH CAROLINA                        5875      12039      305355
06 000 13 000 GA GEORGIA                               5782      11000      272202
06 000 15 000 HI HAWAII                                5019       8847      228832
06 000 25 000 MA MASSACHUSETTS                         4730       7132      292490
06 000 49 000 UT UTAH                                  4608      10039      207669
06 000 42 000 PA PENNSYLVANIA                          4086       6863      234312
06 000 26 000 MI MICHIGAN                              3700       6436      170345
06 000 24 000 MD MARYLAND                              3641       6696      214737
06 000 34 000 NJ NEW JERSEY                            3616       6447      275936
06 000 39 000 OH OHIO                                  3581       6358      168101
06 000 16 000 ID IDAHO                                 3337       6876      171736
06 000 47 000 TN TENNESSEE                             3162       6020      160223
06 000 29 000 MO MISSOURI                              3150       6085      139809
06 000 35 000 NM NEW MEXICO                            2793       5215      128094
06 000 27 000 MN MINNESOTA                             2768       5088      142716
06 000 40 000 OK OKLAHOMA                              2716       5640       90814
06 000 18 000 IN INDIANA                               2331       4460      106108
06 000 55 000 WI WISCONSIN                             2222       4111      100509
06 000 22 000 LA LOUISIANA                             2187       3997       86090
06 000 45 000 SC SOUTH CAROLINA                        1866       3573       92349
06 000 20 000 KS KANSAS                                1820       3797       72741
06 000 05 000 AR ARKANSAS                              1767       3531       65016
06 000 09 000 CT CONNECTICUT                           1699       2930      123301
06 000 19 000 IA IOWA                                  1593       3060       63624
06 000 11 000 DC DISTRICT OF COLUMBIA                  1585       1901       85767
06 000 01 000 AL ALABAMA                               1541       3192       64665
06 000 02 000 AK ALASKA                                1527       2817       55348
06 000 30 000 MT MONTANA                               1504       2663       71375
06 000 21 000 KY KENTUCKY                              1379       2777       68736
06 000 31 000 NE NEBRASKA                              1207       2356       46220
06 000 28 000 MS MISSISSIPPI                           1024       1946       37890
06 000 56 000 WY WYOMING                                764       1431       43370
06 000 46 000 SD SOUTH DAKOTA                           628       1162       27539
06 000 33 000 NH NEW HAMPSHIRE                          608       1032       33018
06 000 23 000 ME MAINE                                  588       1003       28233
06 000 44 000 RI RHODE ISLAND                           558       1074       29735
06 000 38 000 ND NORTH DAKOTA                           537        949       19573
06 000 54 000 WV WEST VIRGINIA                          382        696       15362
06 000 10 000 DE DELAWARE                               362        647       16302
06 000 50 000 VT VERMONT                                330        515       15493
08 000 96 000 CO CO Total Mig - US & For              69634     131936     3303772
08 000 97 000 CO CO Total Mig - US                    67609     127873     3206535
08 000 98 000 CO CO Total Mig - Foreign                2025       4063       97238
08 000 08 000 CO CO Non-Migrants                    1785442    3864553   112635934
08 000 06 000 CA CALIFORNIA                            8097      14552      413272
08 000 48 000 TX TEXAS                                 7492      15839      388277
08 000 12 000 FL FLORIDA                               4212       7162      217305
08 000 04 000 AZ ARIZONA                               4034       7769      196719
08 000 53 000 WA WASHINGTON                            2413       4365      115691
08 000 35 000 NM NEW MEXICO                            2125       4270       82171
08 000 57 000 FR Foreign                               2025       4063       97238
08 000 36 000 NY NEW YORK                              1920       2973       86376
08 000 17 000 IL ILLINOIS                              1820       3127       88956
08 000 51 000 VA VIRGINIA                              1727       3538      105533
08 000 56 000 WY WYOMING                               1699       3237       72550
08 000 20 000 KS KANSAS                                1612       3340       61295
08 000 37 000 NC NORTH CAROLINA                        1495       3075       74319
08 000 49 000 UT UTAH                                  1471       3172       70305
08 000 13 000 GA GEORGIA                               1463       3118       71100
08 000 31 000 NE NEBRASKA                              1455       2815       59089
08 000 41 000 OR OREGON                                1392       2303       59280
08 000 40 000 OK OKLAHOMA                              1358       2860       54407
08 000 32 000 NV NEVADA                                1352       2536       64050
08 000 42 000 PA PENNSYLVANIA                          1308       2399       64296
08 000 29 000 MO MISSOURI                              1295       2565       55944
08 000 26 000 MI MICHIGAN                              1237       2063       45562
08 000 27 000 MN MINNESOTA                             1182       2095       54920
08 000 39 000 OH OHIO                                  1108       2080       48599
08 000 55 000 WI WISCONSIN                              991       1789       41872
08 000 25 000 MA MASSACHUSETTS                          921       1383       47938
08 000 47 000 TN TENNESSEE                              886       1689       40728
08 000 19 000 IA IOWA                                   869       1605       35159
08 000 30 000 MT MONTANA                                822       1475       34260
08 000 24 000 MD MARYLAND                               820       1577       44728
08 000 18 000 IN INDIANA                                753       1433       33919
